Ительменское слово,Русское слово,Часть речи
lot'ɬxэnom,бой,сущ
ankalwas,бок,сущ
ʷkasoŋ,бок,сущ
xʔawəm,мужского капора,сущ
kasэŋʔan,боковой камус зимней обуви,сущ
ksoʔn,боковые камусы зимней обуви,сущ
əŋqsxnom,болезнь,сущ
istwэ-,болеть,неп
əŋqsx-,болеть,неп
q'imtq',болото,сущ
krwэɬxэt-,болтать,неп
t'эnŋat-,болтаться,неп
əŋqsx,боль,сущ
ankalwas,боль в боку,сущ
fэnэs,большой сибирский гуменник,сущ
tənzasχ,большой спинной плавник рыбы,сущ
luʔwəl,борода,сущ
luʔwilti-,бородой обрасти,неп
ʷɬiti-,бороться,неп
katx,борщевик,сущ
d'iŋʎiŋʎačχ,ботало,сущ
бotinkaʔn,ботинки,сущ
бočkaʔ,бочка,сущ
kəllasnom,боярышник,сущ
kəllasnal,боярышника заросли,сущ
ijakэʔɬ-,бояться,неп
xtэ-,бояться,п1
эqэl-,браковать,п1
qitkinэŋ,брат,сущ
sillatumx,брат,сущ
"tiя сущ В., Ю.",брат,
aʎa,брат старший,сущ
ɬ-,брать,п1
ɬit-,брать,п1
эxɬat-,брать,п1
ɬintskawэl-,брать в плен,п1
qaŋɬat-,брать взаймы,п1
pklэlsxэn-,брать двумя горстями,неп
ɬonaɬo-,брать клятву,п1
sisxэŋɬ-,брать с собой еду,неп
qaŋɬə-,брать что-либо взаймы,п1
бrэwnoʔ,бревно,сущ
uʔ,бревно,сущ
sэl-,бредить,неп
ɬŋunu-,брезжить,неп
бrigada,бригада,сущ
ənmi-,брить,п1
tiltэʔn,брови,сущ
təltəl,бровь,сущ
ansč'a-,бродить,неп
apsč'at-,бродить,неп
sэʔl-,бродить,неп
tiwʎat-,бродить по реке,неп
apsč'at-,бродить по снегу,неп
бrotnэʔn,бродни,сущ
iwlsχэʔn,бродни,сущ
č'ixilэrэŋ,бродяга,сущ
inoms-,бросать,неп
paxčo-,бросать,п1
paxčozo-,бросать,п1
tkil-,бросать,п1
tkillэt-,бросать,п1
tkit-,бросать,п1
tkəl- п1 с.,бросать,
tkэtzo-,бросать,п1
pэns-,бросаться,неп
pэnsэt-,бросаться,неп
mэk'ɬxən,брус,сущ
k'awʔuč,временного летнего шалаша,сущ
ʷčэɬxčэɬx,брусника,сущ
pnawŏm,брусок точильный,сущ
ipstu-,брызгать,п1
ipstuʔɬ-,брызгать,неп
ipɬqэʔɬ-,брызгаться,неп
ipstuʔɬ-,брызгаться,неп
ipstuʔn,брызги,сущ
qэpɬko-,брыкаться,п1
quwa,брюки,сущ
nanqajp-,брюхо вспарывать,п1
sit,брючный ремень,сущ
k'ink'in,брюшко рыбье,сущ
jajar,бубен,сущ
jajarčo-,бубен бить,неп
xirwirwэčχ,бубенчики для собак,сущ
эskp,бугор,сущ
nəsxlэʔɬ-,будить,неп
ənsxɬi-,будить,п1
ənsxɬit-,будить,п1
ənsxɬэzo-,будить,п1
pukkal,бузины заросли,сущ
бukiska,букашка,сущ
бukwaʔ,буква,сущ
бukwar',букварь,сущ
бulkaʔ,булка,сущ
aɬэs сущ с.,бульон,
эmk',бульон,сущ
бumagaʔ,бумага,сущ
бumaжnoj,бумажный,прил
fjal,буран,сущ
ɬэruŋ-,бурчать,неп
fjal,буря,сущ
kəʎʎaʔɲč,бусы,сущ
бutilkaʔ,бутылка,сущ
ʷkič'э,бык,сущ
lamŋa,бык большой,сущ
ziwa,быстро,нареч
niqa нареч с.,быстро,
ničχalq,быстро,нареч
xʎoska,быстро,нареч
č'эtxla-,быстро нестись,неп
insimpɬ-,быстро погружать,неп
fsэʔɬ-,быстро течь,неп
бɨstroj,быстрый,прил
nikэlaχ,быстрый,прил
nipwэqin прил с.,быстрый,
iɬ-,быть,п1
it-,быть,неп
itkэʔɬ-,быть,неп
ɬ-,быть,неп
til-,быть,п2
fɬ-,быть беременной,неп
či-,быть в наличии,неп
nэtxwaʔɬ-,быть забывчивым,неп
kəmŋa-,быть завлеченным,неп
intxəlэʔɬ-,быть колючим,неп
nэmč'k'эlэʔɬ-,быть надоедливым,неп
utu-,быть не в состоянии,неп
anəɲčxčaʔɬ-,быть победителем,неп
inənk'zuʔɬ-,быть помощником,неп
nikɬfaʔɬ-,быть растяпой,неп
č'эʔɬ-,быть с кем-то совместно,п1
ənzlэʔɬ-,быть чувствительным,неп
čəsk,в,нареч
čəskэ,в,нареч
əntэwэlэt-,в воде растворять,п1
sisxэŋɬ-,в дорогу собираться,неп
zэnkoŋ нареч с.,в лес,
sэnkэ,в лес,нареч
sэɲčkэ,в лесочек,нареч
sink,в лесу,нареч
zin-,"в лесу, в лес",А
sin-,"в лесу, в лес, из леса, лесной",А
ɲaačiɬ,в одиночестве,нареч
fiɲɲatɬ,в одиночку,мест
t'aɬanank,в позапрошлом году,нареч
xiʔixltu,в позапрошлом году,нареч
posʎэtɲoj,в последний раз,нареч
ixɬtu,в прошлом году,нареч
kӑnnэnk,в середине,нареч
kӑnnэnkэ,в середину,нареч
kӑnnэnk,в центре,нареч
kӑnnэnkэ,в центру,нареч
waжnoj,важный,прил
waʎэnkaʔn,валенки,сущ
əntɬki-,валить,п1
əntɬkist-,валить,п1
saknom,вальдшнеп,сущ
aŋqansχlaχ,валяет дурака,прил
aŋqansxэn-,валять дурака,неп
lokawэʔɬ-,валять дурака,неп
liʔl,варежки,сущ
p'axp'aŋ,вареная рыба,сущ
sэwaʔn,"вареная, чуть подвяленная рыба",сущ
warжin,варженка (деталь нарты),сущ
kokazo- п1 с.,варить,
kukэ-,варить,п1
kokala-,варить немного,неп
kokazo-,варить постоянно,неп
kokazo-,или в большом количестве,п1
tuzaʔn,вас,мест
lopčotəm,вата,сущ
əmpɬi-,вбивать,п1
ɬalaŋ,вброд,нареч
wančk нареч с.,вверх,
xankэ,вверх,нареч
xaɲčkэ,вверх,нареч
ktskiɬ,разделки,нареч
ənsxu-,вверх поднимать,п1
wank нареч с.,вверху,
xank,вверху,нареч
waɲčk нареч с.,вверху (по течению),
xaɲčk,вверху (по течению),нареч
tэwata-,ввести,п2
ɬinč'эŋ-,вводить,п1
ʷti-,вводить,п2
mэč'ak,вдалеке,нареч
t'aɬk,вдалеке,нареч
sča-,вдевать нитку в иголку,п1
amamʔjoq,вдоволь,нареч
"mэjim, mэjэŋ",вдоволь,нареч
əmptowa,вдоволь,нареч
ənk'olsxэn-,вдребезги,п1
xorowal,вдруг,нареч
wэdro,ведро,сущ
эʔjoɬxэn,ведро,сущ
imt,ведь,межд
wэжliwoj,вежливый,прил
wэzdэʔ,везде,нареч
lalpsnoŋ,веко,сущ
iti-,велеть,п1
lawata-,велеть,п2
lэč'iχ,великан,сущ
ʷplaχ,великий,прил
pəlwərwən,величина,сущ
tjotjəm,вена,сущ
malэnəŋ,веник,сущ
ɬmaɬэs,вера,сущ
liɬč,веревка,сущ
fӑsχt,веревка,сущ
tupusin,веревка бата лодки,сущ
iɬ-,верить вэрит,п1
ɬmaɬu iɬ-,верить вэрит,п1
liɬi,верно,нареч
čŋiɬ,верно,нареч
ilwizi-,вернуться,неп
kliɬʔin,верный,прил
qэj,вероятно,нареч
ənk'эlэ-,вертеть,п1
k'ili-,вертеться,неп
əntχzuʔɬ-,вертикально ставить,п1
wэrtoʎot,вертолёт,сущ
kɬmaɬʔan,верующий,прил
ʷПlaχaʔn,Верхнее Хайрюзово,собств
xanʔan,верхний,прил
kzixč,крывающая темень,сущ
xanzozwa,верхом,нареч
oɬxэn,верхушка дерева,сущ
oɬxэn,вершина,сущ
čkaɬxən,вершина дерева,сущ
ktxэɬxən,"вершина сопки, горы",сущ
ənxajmaŋto-,веселить,п1
wajmaŋto- неп с.,веселиться,
xajmaŋto-,веселиться,неп
wajma,весело,нареч
nwajma- нареч с.,весело,
wэsoloj,весёлый,прил
apč'k'əl,весло,сущ
tэjmэnŏŋ,весло,сущ
tэjmэ-,веслом грести,неп
kaxtan,весна,сущ
anok,весной,нареч
ɬэkɬalэw-,вести,п1
ənsaɬt-,вести кого-либо,п1
χoʎat-,вести холостой образ жизни,неп
ampэlaʔɬkaɬχ,вестник,сущ
ampэlanom,весть,сущ
wэs,весь,сущ
miɬ,весь,сущ
tuti,весь,нареч
spəl,ветер,сущ
xiwəs,ветер к заморозку,сущ
ninэʔ,ветер курильский,сущ
qэp-,ветер усиливается,неп
rirwun,ветер южный,сущ
wэtэrinar,ветеринар,сущ
sŋak,ветка,сущ
kitxɬ,ветла,сущ
kitxɬ,ветла,сущ
utxlaχ,ветхий,прил
utxq,ветхо,нареч
ililэč,веха,сущ
kэŋč,веха,сущ
txunkəm,вечер,сущ
xiwəs,вечерний ветер к заморозку,сущ
txunʔin,вечерный,прил
wэčno,вечно,нареч
kəɲčpaɬ,вечно,нареч
quʔnэŋэʔn,вечно,нареч
kəɲčpaɬən,вечный,прил
quʔnэŋэlaχ,вечный,прил
quʔnэŋэʔin,вечный,прил
ŋэlpэʔn,вешала,сущ
wэsalkaʔ,вешалка,сущ
wэsalkalŋin,вешалка для рыбы,сущ
č'əmkэčχ,вешалка-крючок для сети,сущ
ənt'эnŋa-,вешать,п1
ənt'эŋat-,вешать,п1
zalk,взади,нареч
wzajmaʔ,взаймы,нареч
qaŋɬat-,взаймы брать,п1
qaŋɬə-,взаймы брать,п1
эfs-,взбираться,неп
nэpajsa-,вздуть,п1
jaŋsalan,взрослый медведь-самец,сущ
zu-,взять,п2
ačplэ-,взять в рот (пищу),неп
pklэl-,взять двумя горстями,п2
iwris,вид крохаля,сущ
aɬэʔn,вид повседневной обуви,сущ
č'rutx,вид толкуши,сущ
zwosx,вид травы,сущ
sxom,вид травы,сущ
ɬčku-,видеть,п1
əʎčku- п1 с.,видеть,
əɬčku-,видеть,п1
rэtla-,видеть сон,неп
tэpəlaχ,видимый,прил
tэpəl lэ-,видимый,неп
č'эxrota-,визгливо смеяться,неп
č'omqэčχ,вилка,сущ
nэŋэʔɬnom,вилы,сущ
t'эnŋэ-,висеть,неп
t'эnŋat-,висеть,неп
t'izimč,висок,сущ
ənkawral-,вить,п1
čχamɬ-,вкусно есть,неп
kɬč'эwэzэ,вкусно очень,нареч
č'эwэzlaχ,вкусный,прил
fansx,влагалище,сущ
čqlaχ,влажный,прил
эʎwэʎaχ прил с.,влажный,
q'эfq'эf,власть,сущ
sič'эŋankэ,влево,нареч
xuwэ,влево (команда собакам),межд
č'э-,влезать,неп
iwu-,вместе,неп
kč'эʔɬʔin,вместе,
omakaŋ,вместе,нареч
omokom нареч с.,вместе,
č'э-,вмещать,неп
əzwa-,вмещаться,неп
tэwata-,внести,п2
kalfsk,внешне,нареч
tnŭm-,вниз,А
tnŭmkэ,вниз,нареч
ijank,вниз (по течению),нареч
fi-,вниз по течению,неп
эjankэ,вниз по течению,нареч
tnŭm-,внизу,А
tnŭmk,внизу,нареч
ijank,внизу (по течению),нареч
ijank,ю.;,нареч
ʷti-,вносить,п2
tэt-,вносить,п1
kӑmlon,внук,сущ
čəsk,внутри,нареч
čəskэ,внутрь,нареч
kӑmlon,внучка,сущ
iʔ,вода,сущ
эʔrumʔэrum,"вода, выступающая поверх льда",сущ
ɬэkɬalэw-,водить,п1
ɬэnɬalэzoŋ-,водить,п1
iʔaxčaχ,водичка,сущ
iʔaxčaχ,водка,сущ
ača-,водой обдать,п1
xollolač,водопад,сущ
tŋəlэt-,воду набирать,п1
tŋil-,воду черпать,неп
iʔnum-,воды в рот набирать,неп
iʔnum,воды глоток,сущ
ikənsfɬ-,воды таскать,неп
iʔэqэn,водянка (болезнь),сущ
zofsx,водяной,сущ
ksχzoʔas,водяной,сущ
atslaŋ,водяной чумок,сущ
lut'ɬxэ-,воевать,неп
č'afkranom,вожделение,сущ
ampэlaʔɬ-,возвещать,неп
uwik,возвратное местоимение,сущ
tilwizi-,возвращать,п1
tilwizit-,возвращать,п1
