Аффикс,Описание
-uʔmk,п1 объект 1-го лица мн. ч. (см. -uʔm)
-uʔmsx,"вар. с. -sxuʔm п1 субъект 2-го лица мн. ч., объект 1-го лица мн. ч."
-x,п1 субъект 2-го лица и объекта 3-го лица в побудительно-
-xal,с. сущ исходно-продольный падеж (см. -xʔal)
-xkin,п2 объект 2-го лица ед. ч.
-xkiʔn,"п2 субъект 2-го лица мн. ч., объект 3-го лица мн. ч."
-xkmiŋ,п2 объект 1-го лица ед. ч.
-xkmiŋsx,п2 субъект 2-го лица мн. ч. и объекта 1-го лица ед. ч.
-xkmiʔn,п2 объект 1-го лица мн. ч.
-xkmiʔŋsx,п2 субъект 2-го лица мн. ч. и объекта 1-го лица мн. ч.
-xkŏmnen,вар. с. -xkumnen п2 субъект 3-го лица и объекта 1-го лица ед. ч.
-xkŏmneʔn,вар. с. -xkumneʔn п2 субъект 3-го лица и объекта 1-го лица
-xč,неп субъект 2-го лица ед. ч. в побудительно-повелительном
-xčik,вар. -xčix п2 субъект 2-го лица и объекта 3-го лица ед. ч. в
-xeʔn,п1 субъект 2-го лица и объекта 3-го лица мн. ч. в побудительно-
-xʔal,вар. с. -xal сущ исходно-продольный падеж
-č,неп субъект 2-го лица ед. ч.
-čaχ/-čχ,"сущ > сущ диминутив, ед. ч."
-čiŋnen,п2 субъект 3-го лица ед. ч. и объект 3-го лица ед. ч.
-čiŋneʔn,п2 субъект 3-го лица ед. ч. и объект 3-го лица мн. ч.
-čŋin,неп субъюнктив 3-го лица ед. ч.
-čŋin,п2 субъект 2-го лица ед. ч. и объект 3-го лица ед. ч.
-čŋiʔn,"п2 субъект 2-го лица ед. ч., объект 3-го лица мн. ч."
-čŋiʔn,неп субъюнктив 3-го лица мн. ч. <CO>
-čo,"гл > гл дуратив, выражающий длительность (см. -zo)"
-čen,"п1 субъект 1-го лица ед. ч., объект 3-го лица ед. ч."
-čeʔn,"п1 1) субъект 1-го лица ед, ч., обьект 3-го лица мн. ч. 2) субъект"
-e,сущ звательный падеж
-en,"вар. с. -in п1 субъект 2-го лица ед. ч., объект 3-го лица ед. ч. <CO>"
-en,неп субъект 3-го лица ед. ч.
-enk,с. сущ направительно-дательный падеж (см. -anke)
-enk,сущ местный падеж
-enkoŋ,с. сущ направительно-дательный падеж <CO> (см. -anke)
-es,п1 > инф I инфинитив (см. -s)
-eʔn,вар. с. -iʔn неп субъект 3-его лица мн. ч.
-ʔan,"сущ > прил модификатор, отыменное прилагательное"
-ʔin,"вар. -ʔan, -ʔen сущ > прил модификатор, отсуществительное"
-ʔɬ,пер > неп антипассив
-ʔn,сущ множественное число
-ʔn,п1 объект 3-го лица мн. ч.
-ʔɲč,"сущ > сущ диминутив, мн. ч."
-ʔsx,сущ назначительный падеж
-ʔen,"сущ > прил модификатор, отыменное прилагательное"
